Data,ID_Obra,Tipo_Obra,Material,Equipamento,Area_m2,Espessura_cm,Custo_Orcado_RS,Custo_Real_RS,Consumo_Diesel_L
2024-06-01,OBRA_65-9176,Loteamento/Prefeitura,Lama Asfáltica,Caminhão Espargidor,1910,3.5,91729.08,91320.15,167.12
2024-04-30,OBRA_81-5487,Loteamento/Prefeitura,CBUQ Faixa C,Rolo Compactador,8783,3.5,558173.83,575439.66,768.51
2025-03-14,OBRA_64-7517,Concessionária/Rodovia,Binder,Fresadora,3434,4.0,334716.32,331629.3,343.4
2026-01-31,OBRA_96-6976,Loteamento/Prefeitura,CBUQ Faixa C,Caminhão Espargidor,7712,3.0,406243.85,391444.32,578.4
2025-09-11,OBRA_42-1241,Concessionária/Rodovia,CBUQ Faixa B,Fresadora,14080,6.0,1244532.44,1276862.36,2112.0
2024-06-10,OBRA_93-6856,Concessionária/Rodovia,Binder,Rolo Compactador,4363,6.0,536483.72,533411.83,654.45
2024-09-03,OBRA_97-6110,Loteamento/Prefeitura,Lama Asfáltica,Vibroacabadora,7132,3.0,452913.13,437482.25,534.9
2026-03-14,OBRA_95-6838,Loteamento/Prefeitura,Lama Asfáltica,Rolo Compactador,10295,3.0,644025.62,649803.83,772.12
2024-05-08,OBRA_66-6094,Loteamento/Prefeitura,Lama Asfáltica,Caminhão Espargidor,5068,3.0,254300.53,247138.99,380.1
2024-03-25,OBRA_26-6270,Loteamento/Prefeitura,Lama Asfáltica,Vibroacabadora,9186,3.0,460104.86,443682.89,688.95
2024-09-14,OBRA_36-4533,Concessionária/Rodovia,CBUQ Faixa B,Fresadora,13836,4.0,1717955.76,1739012.23,1383.6
2025-08-12,OBRA_64-9960,Concessionária/Rodovia,Binder,Caminhão Espargidor,11739,4.0,1487341.85,1525447.31,1173.9
2026-02-01,OBRA_01-7184,Concessionária/Rodovia,Binder,Vibroacabadora,4515,4.0,416888.86,427418.02,451.5
2025-05-22,OBRA_08-8510,Concessionária/Rodovia,Binder,Rolo Compactador,6582,4.0,662064.87,681447.79,658.2
2025-07-22,OBRA_60-1314,Concessionária/Rodovia,CBUQ Faixa B,Caminhão Espargidor,8921,5.0,840970.39,863387.94,1115.12
2025-09-24,OBRA_50-6165,Loteamento/Prefeitura,CBUQ Faixa C,Rolo Compactador,1306,3.5,66425.94,66716.71,114.27
2024-04-16,OBRA_80-9684,Loteamento/Prefeitura,CBUQ Faixa C,Caminhão Espargidor,7088,3.0,452209.27,466202.65,531.6
2024-06-23,OBRA_42-7197,Loteamento/Prefeitura,Lama Asfáltica,Vibroacabadora,7761,3.5,472599.49,454145.99,679.09
2025-01-07,OBRA_77-5262,Concessionária/Rodovia,CBUQ Faixa B,Fresadora,6767,5.0,820170.64,836651.09,845.88
2024-04-02,OBRA_15-5326,Loteamento/Prefeitura,Lama Asfáltica,Fresadora,6291,3.5,382338.22,365113.81,550.46
2025-12-22,OBRA_76-8434,Loteamento/Prefeitura,CBUQ Faixa C,Caminhão Espargidor,7626,3.0,465234.09,485122.22,571.95
2026-01-28,OBRA_57-9172,Loteamento/Prefeitura,CBUQ Faixa C,Fresadora,13611,3.0,847070.26,820406.32,1020.82
2025-12-24,OBRA_27-7489,Loteamento/Prefeitura,Lama Asfáltica,Fresadora,2590,3.0,156911.89,158610.74,194.25
2024-06-25,OBRA_68-9647,Loteamento/Prefeitura,Lama Asfáltica,Caminhão Espargidor,1208,3.0,74407.95,72992.78,90.6
2025-11-02,OBRA_96-4287,Loteamento/Prefeitura,CBUQ Faixa C,Fresadora,12663,3.0,668181.06,642237.46,949.72
